docid,entityid,type
28,Si Chen,Author
28,Large Language Models,Topic
28,Chatgpt,Topic
28,Classrooms,Topic
28,Outdated Or Fabricated Information,Topic
28,Students,Topic
28,Retrieval Augmented Generation (Rag),Topic
28,External Resources,Topic
28,Reliability,Topic
28,Vector-Based Retrieval,Topic
28,Graph-Based Retrieval,Topic
28,Classroom Question Answering (Qa),Topic
28,Pedagogical Factors,Topic
28,Educational Disciplines,Topic
28,Question Types,Topic
28,Practical Deployment Costs,Topic
28,Eduscopeqa,Topic
28,Academic Subjects,Topic
28,Educational Query Types,Topic
28,Specific Facts,Topic
28,Thematic Discussions,Topic
28,Systematically Altered Textbooks,Topic
28,Latent Knowledge,Topic
28,Openai Vector Search Rag,Topic
28,Low-Cost Generalist,Topic
28,Quick Fact Retrieval,Topic
28,Graphrag,Topic
28,Graphrag Global,Topic
28,Pedagogically Rich Answers,Topic
28,Thematic Queries,Topic
28,Graphrag Local,Topic
28,"Dense, Altered Textbooks",Topic
28,Corpus Integrity,Topic
28,10-20X Higher Resource Usage,Topic
28,Dynamic Branching Framework,Topic
28,Fidelity,Topic
28,Efficiency,Topic
28,Educators,Topic
28,System Designers,Topic
28,Rag-Augmented Llms,Topic
28,Learning Environments,Topic
28,System Alignment,Topic
29,E^2Graphrag: Streamlining Graph-Based Rag For High Efficiency And Effectiveness,Paper
29,Yibo Zhao,Author
29,Jiapeng Zhu,Author
29,Ye Guo,Author
29,Kangkang He,Author
29,Xiang Li,Author
29,E^2Graphrag,Topic
29,Graph-Based Rag,Topic
29,Graphrag,Topic
29,Lightrag,Topic
29,Hierarchical Entity Graphs,Topic
29,Inefficiency,Topic
29,Manually Pre-Defined Query Modes,Topic
29,Summary Tree,Topic
29,Large Language Models,Topic
29,Entity Graph,Topic
29,Spacy,Topic
29,Document Chunks,Topic
29,Bidirectional Indexes,Topic
29,Entities,Topic
29,Chunks,Topic
29,Many-To-Many Relationships,Topic
29,Local Retrieval,Topic
29,Global Retrieval,Topic
29,Adaptive Retrieval Strategy,Topic
29,Graph Structure,Topic
29,Indexing,Topic
29,Retrieval,Topic
29,Qa Performance,Topic
29,Efficiency,Topic
29,Effectiveness,Topic
29,Knowledge Base,Topic
30,Gtr: Graph-Table-Rag For Cross-Table Question Answering,Paper
30,Jiaru Zou,Author
30,Dongqi Fu,Author
30,Sirui Chen,Author
30,Xinrui He,Author
30,Zihao Li,Author
30,Yada Zhu,Author
30,Jiawei Han,Author
30,Jingrui He,Author
30,Graphrag,Topic
30,Cross-Table Question Answering,Topic
30,Mutlitableqa,Topic
30,Graph-Table-Rag,Topic
30,Heterogeneous Graph,Topic
30,Hierarchical Coarse-To-Fine Retrieval,Topic
30,Graph-Aware Prompting,Topic
30,Tabular Reasoning,Topic
30,Llms,Topic
30,Deployment Efficiency,Topic
30,Multi-Table Benchmark,Topic
30,Real-World Sources,Topic
30,User Queries,Topic
30,Tables,Topic
30,Real-World Practical Applicability,Topic
31,Open-Source Agentic Hybrid Rag Framework For Scientific Literature Review,Paper
31,Aditya Nagori,Author
31,Ricardo Accorsi Casonatto,Author
31,Ayush Gautam,Author
31,Abhinav Manikantha Sai Cheruvu,Author
31,Rishikesan Kamaleswaran,Author
31,Hybrid Retrieval Augmented Generation (Rag) Systems,Topic
31,Graphrag,Topic
31,Vectorrag,Topic
31,Uncertainty Estimates,Topic
31,Agentic Approach,Topic
31,Autonomous Agent,Topic
31,Instruction-Tuned Generation,Topic
31,Uncertainty,Topic
31,Neo4J,Topic
31,Citation-Based Knowledge Graph (Kg),Topic
31,Knowledge Graph (Kg),Topic
31,Faiss,Topic
31,Vector Store (Vs),Topic
31,All-Minilm-L6-V2,Topic
31,Llama-3.3-70B,Topic
31,Pubmed,Topic
31,Arxiv,Topic
31,Google Scholar Apis,Topic
31,Cypher,Topic
31,Sparse Retrieval,Topic
31,Dense Retrieval,Topic
31,Re-Ranking,Topic
31,Bootstrapped Evaluation,Topic
31,Standard Deviation,Topic
31,Evaluation Metrics,Topic
31,Synthetic Benchmarks,Topic
31,Real-World Queries,Topic
31,Instruction-Tuned Agent,Topic
31,Direct Preference Optimization (Dpo),Topic
31,Vs Context Recall,Topic
31,Context Precision,Topic
31,Vs Faithfulness,Topic
31,Vs Precision,Topic
31,Kg Answer Relevance,Topic
31,Faithfulness Score,Topic
31,Kg Context Recall,Topic
31,Vs Answer Relevance,Topic
31,Precision,Topic
31,Scientific Literature Review,Topic
31,Bibliometric Open-Access Data,Topic
31,Full-Text Pdfs,Topic
31,Vector Search,Topic
31,Graph Queries,Topic
31,Dynamic Orchestration,Topic
31,Reproducibility,Topic
31,Hallucinations,Topic
31,Relevance,Topic
32,Hypergraphrag: Retrieval-Augmented Generation Via Hypergraph-Structured Knowledge Representation,Paper
32,Haoran Luo,Author
32,Haihong E,Author
32,Guanting Chen,Author
32,Yandan Zheng,Author
32,Xiaobao Wu,Author
32,Yikai Guo,Author
32,Qika Lin,Author
32,Yu Feng,Author
32,Zemin Kuang,Author
32,Meina Song,Author
32,Yifan Zhu,Author
32,Luu Anh Tuan,Author
32,Retrieval-Augmented Generation,Topic
32,Rag,Topic
32,Graphrag,Topic
32,Hypergraphrag,Topic
32,Hypergraph,Topic
32,Hyperedges,Topic
32,Knowledge Hypergraph,Topic
32,Knowledge Hypergraph Construction,Topic
32,Retrieval,Topic
32,Generation,Topic
32,Chunk-Based Retrieval,Topic
32,Graph-Based Knowledge Representation,Topic
32,Binary Relations,Topic
32,N-Ary Relations,Topic
32,Ordinary Graph,Topic
32,Standard Rag,Topic
32,Graph-Based Rag,Topic
32,Medicine,Topic
32,Agriculture,Topic
32,Computer Science,Topic
32,Law,Topic
32,Answer Accuracy,Topic
32,Retrieval Efficiency,Topic
32,Generation Quality,Topic
32,Hypergraph-Structured Knowledge Representation,Topic
33,From Local To Global: A Graph Rag Approach To Query-Focused Summarization,Paper
33,Darren Edge,Author
33,Ha Trinh,Author
33,Newman Cheng,Author
33,Joshua Bradley,Author
33,Alex Chao,Author
33,Apurva Mody,Author
33,Steven Truitt,Author
33,Dasha Metropolitansky,Author
33,Robert Osazuwa Ness,Author
33,Jonathan Larson,Author
33,Retrieval-Augmented Generation (Rag),Topic
33,Large Language Models (Llms),Topic
33,External Knowledge Source,Topic
33,Query-Focused Summarization (Qfs),Topic
33,Graphrag,Topic
33,Entity Knowledge Graph,Topic
33,Community Summaries,Topic
33,Graph Index,Topic
33,Question Answering,Topic
33,Private Text Corpora,Topic
33,Global Questions,Topic
33,Global Sensemaking Questions,Topic
33,Conventional Rag Baseline,Topic
33,1 Million Token Range,Topic
33,Comprehensiveness Of Generated Answers,Topic
33,Diversity Of Generated Answers,Topic
33,Previously Unseen Document Collections,Topic
34,Kerag_R: Knowledge-Enhanced Retrieval-Augmented Generation For Recommendation,Paper
34,Zeyuan Meng,Author
34,Zixuan Yi,Author
34,Iadh Ounis,Author
34,Large Language Models (Llms),Topic
34,Recommender Systems,Topic
34,Contextual Learning,Topic
34,Generalisation Capabilities,Topic
34,Recommendation Performance,Topic
34,Domain-Specific Knowledge,Topic
34,Knowledge Graph (Kg),Topic
34,Graph Retrieval-Augmented Generation (Graphrag),Topic
34,Retrieval-Augmented Generation,Topic
34,Graph Attention Network (Gat),Topic
34,Triple,Topic
34,Text-Based User Interactions,Topic
34,Users' Preferences,Topic
34,Input Context Length,Topic
34,Hallucinations,Topic
34,State-Of-The-Art Recommendation Methods,Topic
34,Three Public Datasets,Topic
34,Recommendation Tasks,Topic
34,Instructions,Topic
34,Pre-Training Corpus,Topic
34,Human Preferences,Topic
34,Specialised Prompts,Topic
34,Recommendation Signals,Topic
34,Kerag_R,Topic
35,Graphrag-R1: Graph Retrieval-Augmented Generation With Process-Constrained Reinforcement Learning,Paper
35,Chuanyue Yu,Author
35,Kuo Zhao,Author
35,Yuhan Li,Author
35,Heng Chang,Author
35,Mingjian Feng,Author
35,Xiangzhe Jiang,Author
35,Yufei Sun,Author
35,Jia Li,Author
35,Yuzhi Zhang,Author
35,Jianxin Li,Author
35,Ziwei Zhang,Author
35,Graphrag-R1,Topic
35,Graph Retrieval-Augmented Generation (Graphrag),Topic
35,Llms,Topic
35,Graph Structures,Topic
35,Knowledge Representation,Topic
35,Complex Real-World Relationships,Topic
35,Multi-Hop Reasoning,Topic
35,Process-Constrained Outcome-Based Reinforcement Learning (Rl),Topic
35,Retrieval Tools,Topic
35,Group Relative Policy Optimization (Grpo),Topic
35,Rollout-With-Thinking Capability,Topic
35,Reward Functions,Topic
35,Progressive Retrieval Attenuation (Pra),Topic
35,Shallow Retrieval Problem,Topic
35,Cost-Aware F1 (Caf),Topic
35,Over-Thinking Problem,Topic
35,Phase-Dependent Training Strategy,Topic
35,Cold Start,Topic
35,Hybrid Graph-Textual Retrieval,Topic
35,Reasoning Capacity,Topic
35,In-Domain Datasets,Topic
35,Out-Of-Domain Datasets,Topic
35,State-Of-The-Art Graphrag Methods,Topic
35,Retrieval,Topic
35,Reasoning,Topic
35,Performance Improvements,Topic
35,Computational Costs,Topic
35,Training Stages,Topic
35,Retrieval Methods,Topic
36,A Few Words Can Distort Graphs: Knowledge Poisoning Attacks On Graph-Based Retrieval-Augmented Generation Of Large Language Models,Paper
36,Jiayi Wen,Author
36,Tianxin Chen,Author
36,Zhirun Zheng,Author
36,Cheng Huang,Author
36,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
36,Large Language Models (Llms),Topic
36,Knowledge Graphs,Topic
36,Knowledge Poisoning Attacks (Kpas),Topic
36,Targeted Kpa (Tkpa),Topic
36,Universal Kpa (Ukpa),Topic
36,Question-Answering (Qa),Topic
36,Graph-Theoretic Analysis,Topic
36,Linguistic Cues,Topic
36,Pronouns,Topic
36,Dependency Relations,Topic
36,Defense Methods,Topic
36,Downstream Reasoning,Topic
36,Graphrag Pipelines,Topic
37,Noderag: Structuring Graph-Based Rag With Heterogeneous Nodes,Paper
37,Tianyang Xu,Author
37,Haojie Zheng,Author
37,Chengze Li,Author
37,Haoxiang Chen,Author
37,Yixin Liu,Author
37,Ruoxi Chen,Author
37,Lichao Sun,Author
37,Retrieval-Augmented Generation,Topic
37,Large Language Models,Topic
37,Graph-Based Rag,Topic
37,Knowledge Graph Index,Topic
37,Graph Algorithms,Topic
37,Graph Structures,Topic
37,Heterogeneous Graph Structures,Topic
37,Rag Workflow,Topic
37,Graphrag,Topic
37,Lightrag,Topic
37,Question-Answering Performance,Topic
37,Multi-Hop Benchmarks,Topic
37,Indexing Time,Topic
37,Query Time,Topic
37,Storage Efficiency,Topic
37,Retrieval Tokens,Topic
37,Open-Ended Evaluations,Topic
37,Performance,Topic
38,Fastrag: Retrieval Augmented Generation For Semi-Structured Data,Paper
38,Amar Abane,Author
38,Anis Bekri,Author
38,Abdella Battou,Author
38,Saddek Bensalem,Author
38,Large Language Models (Llm),Topic
38,Retrieval-Augmented Generation (Rag),Topic
38,Vectorrag,Topic
38,Graphrag,Topic
38,Semi-Structured Technical Data,Topic
38,Semi-Structured Data,Topic
38,Schema Learning,Topic
38,Script Learning,Topic
38,Text Search,Topic
38,Knowledge Graph (Kg),Topic
38,Knowledge Graph (Kg) Querying,Topic
38,Accurate Question Answering,Topic
38,Network Management,Topic
38,Network Data,Topic
38,Data Processing,Topic
38,Increasingly Complex Networks,Topic
38,Time,Topic
38,Cost,Topic
38,Retrieval,Topic
38,Context-Rich Information,Topic
38,Accuracy,Topic
38,Fastrag,Topic
39,Ontorag: Enhancing Question-Answering Through Automated Ontology Derivation From Unstructured Knowledge Bases,Paper
39,Yash Tiwari,Author
39,Owais Ahmad Lone,Author
39,Mayukha Pal,Author
39,Ontologies,Topic
39,Knowledge Bases,Topic
39,Question Answering (Qa) Systems,Topic
39,Large Language Models (Llms),Topic
39,Ontology Creation,Topic
39,Ontorag,Topic
39,Automated Pipeline,Topic
39,Unstructured Knowledge Bases,Topic
39,Electrical Relay Documents,Topic
39,Web Scraping,Topic
39,Pdf Parsing,Topic
39,Hybrid Chunking,Topic
39,Information Extraction,Topic
39,Knowledge Graph Construction,Topic
39,Queryable Ontology,Topic
39,Graph Based Methods,Topic
39,Global Sensemaking Capabilities,Topic
39,Retrieval Augmented Generation (Rag),Topic
39,Graphrag,Topic
39,Vector Rag,Topic
39,Comprehensiveness,Topic
39,Diversity,Topic
39,Semantic Web,Topic
39,Automating Ontology Creation,Topic
40,Polyg: Effective And Efficient Graphrag With Adaptive Graph Traversal,Paper
40,Renjie Liu,Author
40,Haitian Jiang,Author
40,Xiao Yan,Author
40,Bo Tang,Author
40,Jinyang Li,Author
40,Graphrag,Topic
40,Large Language Models,Topic
40,External Knowledge Graphs,Topic
40,Fact Retrieval,Topic
40,Graph Traversal Strategies,Topic
40,Fixed Graph Traversal Strategy,Topic
40,Adaptive Graph Traversal,Topic
40,User Questions,Topic
40,Question Classification,Topic
40,Four-Class Taxonomy,Topic
40,Polyg,Topic
40,Query Planner,Topic
40,Unified Interface,Topic
40,Execution Engine,Topic
40,Generation Quality,Topic
40,Efficiency,Topic
40,Response Time,Topic
40,Token Usage,Topic
40,Win Rate,Topic
40,Speedup,Topic
41,Ket-Rag: A Cost-Efficient Multi-Granular Indexing Framework For Graph-Rag,Paper
41,Yiqian Huang,Author
41,Shiqi Zhang,Author
41,Xiaokui Xiao,Author
41,Graph-Rag,Topic
41,Ket-Rag,Topic
41,Knowledge Graph,Topic
41,Large Language Model,Topic
41,Question Answering,Topic
41,Biomedicine,Topic
41,Law,Topic
41,Political Science,Topic
41,Multi-Hop Reasoning,Topic
41,Proprietary Documents,Topic
41,Knn Graphs,Topic
41,Entity Relationships,Topic
41,Triplet-Based Knowledge Graphs,Topic
41,Indexing Costs,Topic
41,Large Document Collections,Topic
41,Multi-Granular Indexing,Topic
41,Knowledge Graph Skeleton,Topic
41,Text-Keyword Bipartite Graph,Topic
41,Retrieval,Topic
41,Retrieval Quality,Topic
41,Retrieval Effectiveness,Topic
41,Generation Quality,Topic
41,Microsoft'S Graph-Rag,Topic
41,Text Chunks,Topic
41,Local Search Strategy,Topic
42,How Significant Are The Real Performance Gains? An Unbiased Evaluation Framework For Graphrag,Paper
42,Qiming Zeng,Author
42,Xiao Yan,Author
42,Hao Luo,Author
42,Yuhao Lin,Author
42,Yuxiang Wang,Author
42,Fangcheng Fu,Author
42,Bo Du,Author
42,Quanqing Xu,Author
42,Jiawei Jiang,Author
42,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
42,Knowledge Graphs,Topic
42,Large Language Models (Llms),Topic
42,Answer Quality,Topic
42,Unrelated Questions,Topic
42,Evaluation Biases,Topic
42,Unbiased Evaluation Framework,Topic
42,Graph-Text-Grounded Question Generation,Topic
42,Unbiased Evaluation Procedure,Topic
42,Llm-Based Answer Assessment,Topic
42,Performance Gains,Topic
42,Underlying Dataset,Topic
42,Scientific Evaluations,Topic
42,Graphrag Research,Topic
42,Solid Foundations,Topic
42,User Questions,Topic
43,Youtu-Graphrag: Vertically Unified Agents For Graph Retrieval-Augmented Complex Reasoning,Paper
43,Junnan Dong,Author
43,Siyu An,Author
43,Yifei Yu,Author
43,Qian-Wen Zhang,Author
43,Linhao Luo,Author
43,Xiao Huang,Author
43,Yunsheng Wu,Author
43,Di Yin,Author
43,Xing Sun,Author
43,Graph Retrieval-Augmented Generation (Graphrag),Topic
43,Large Language Models,Topic
43,Complex Reasoning,Topic
43,Explicitly Structured Graphs,Topic
43,Graph Construction,Topic
43,Graph Retrieval,Topic
43,Domain Shifts,Topic
43,Youtu-Graphrag,Topic
43,Vertically Unified Agentic Paradigm,Topic
43,Seed Graph Schema,Topic
43,Targeted Entity Types,Topic
43,Relations,Topic
43,Attribute Types,Topic
43,Scalability Over Unseen Domains,Topic
43,Dually-Perceived Community Detection,Topic
43,Structural Topology,Topic
43,Subgraph Semantics,Topic
43,Hierarchical Knowledge Tree,Topic
43,Top-Down Filtering,Topic
43,Bottom-Up Reasoning,Topic
43,Community Summaries,Topic
43,Agentic Retriever,Topic
43,Complex Queries,Topic
43,Tractable Sub-Queries,Topic
43,Reflection,Topic
43,Knowledge Leaking Problem,Topic
43,Pre-Trained Llm,Topic
43,Anonymous Dataset,Topic
43,Anonymity Reversion,Topic
43,Graphrag Frameworks,Topic
43,Six Challenging Benchmarks,Topic
43,Robustness,Topic
43,Pareto Frontier,Topic
43,Token Costs,Topic
43,Accuracy,Topic
43,Adaptability,Topic
43,Domain Transfer,Topic
43,Schema,Topic
44,Dyg-Rag: Dynamic Graph Retrieval-Augmented Generation With Event-Centric Reasoning,Paper
44,Qingyun Sun,Author
44,Jiaqi Yuan,Author
44,Shan He,Author
44,Xiao Guan,Author
44,Haonan Yuan,Author
44,Xingcheng Fu,Author
44,Jianxin Li,Author
44,Philip S. Yu,Author
44,Graph Retrieval-Augmented Generation,Topic
44,Retrieval-Augmented Generation,Topic
44,Large Language Models,Topic
44,External Structured Knowledge,Topic
44,Temporal Reasoning,Topic
44,Dynamic Graph,Topic
44,Event-Centric Reasoning,Topic
44,Dynamic Event Units (Deus),Topic
44,Temporal Anchors,Topic
44,Time-Aware Retrieval,Topic
44,Event Graph,Topic
44,Multi-Hop Reasoning,Topic
44,Event Timeline Retrieval,Topic
44,Time Chain-Of-Thought,Topic
44,Temporally Grounded Answer Generation,Topic
44,Temporal Qa Benchmarks,Topic
44,Time-Sensitive Queries,Topic
44,Temporal Knowledge,Topic
44,Unstructured Text,Topic
44,Causal Dependencies,Topic
44,Event Sequences,Topic
45,Enhancing Structured-Data Retrieval With Graphrag: Soccer Data Case Study,Paper
45,Zahra Sepasdar,Author
45,Sushant Gautam,Author
45,Cise Midoglu,Author
45,Michael A. Riegler,Author
45,Pål Halvorsen,Author
45,Structured-Graphrag,Topic
45,Knowledge Graphs,Topic
45,Structured Datasets,Topic
45,Natural Language Queries,Topic
45,Information Retrieval,Topic
45,Retrieval-Augmented Generation,Topic
45,Soccer Data,Topic
45,Query Processing Efficiency,Topic
45,Response Times,Topic
45,Sequential Search,Topic
45,Index-Based Retrieval,Topic
45,Traditional Data Retrieval Methods,Topic
45,Language Model Outputs,Topic
45,Structured Format,Topic
45,Interconnected Data Structures,Topic
45,Accuracy And Relevance,Topic
45,Graph-Based Approach,Topic
45,Reliability Of Results,Topic
46,Knowledge Retrieval In Llm Gaming: A Shift From Entity-Centric To Goal-Oriented Graphs,Paper
46,Jonathan Leung,Author
46,Yongjie Wang,Author
46,Zhiqi Shen,Author
46,Large Language Models (Llms),Topic
46,Step-By-Step Reasoning,Topic
46,Retrieval-Augmented Methods,Topic
46,Graphrag,Topic
46,Cross-Document Extraction And Indexing,Topic
46,Entity-Relation Graphs,Topic
46,Local Connectivity,Topic
46,Goal-Oriented Graphs (Gogs),Topic
46,Goals,Topic
46,Logical Dependencies,Topic
46,Reasoning Paths,Topic
46,High-Level Goals,Topic
46,Subgoals,Topic
46,Coherent Reasoning Chains,Topic
46,Llm Prompting,Topic
46,Game-Playing Tasks,Topic
46,Minecraft Testbed,Topic
46,Reasoning Ability,Topic
47,Evaluating The Performance Of Rag Methods For Conversational Ai In The Airport Domain,Paper
47,Yuyang Li,Author
47,Philip J. M. Kerbusch,Author
47,Raimon H. R. Pruim,Author
47,Tobias Käfer,Author
47,Airport Domain,Topic
47,Airport Environments,Topic
47,Automation,Topic
47,Conversational Ai,Topic
47,Flight Information Systems,Topic
47,Standard Airport Queries,Topic
47,Airport Terminology,Topic
47,Jargon,Topic
47,Abbreviations,Topic
47,Dynamic Questions,Topic
47,Reasoning,Topic
47,Retrieval-Augmented Generation (Rag),Topic
47,Traditional Rag,Topic
47,Sql Rag,Topic
47,Knowledge Graph-Based Rag (Graph Rag),Topic
47,Bm25,Topic
47,Gpt-4,Topic
47,Hallucinations,Topic
47,Airport Safety,Topic
48,Hybridrag: Integrating Knowledge Graphs And Vector Retrieval Augmented Generation For Efficient Information Extraction,Paper
48,Bhaskarjit Sarmah,Author
48,Benika Hall,Author
48,Rohan Rao,Author
48,Sunil Patel,Author
48,Stefano Pasquali,Author
48,Dhagash Mehta,Author
48,Hybridrag,Topic
48,Graphrag,Topic
48,Vectorrag,Topic
48,Retrieval Augmented Generation,Topic
48,Knowledge Graphs,Topic
48,Vector Databases,Topic
48,Q&A Systems,Topic
48,Information Extraction,Topic
48,Financial Documents,Topic
48,Earnings Call Transcripts,Topic
48,Domain-Specific Terminology,Topic
48,Complex Document Formats,Topic
48,Retrieval Accuracy,Topic
48,Answer Generation,Topic
48,Q&A Format,Topic
48,Ground-Truth Q&As,Topic
48,Large Language Models,Topic
48,Financial Applications,Topic
49,Beyond Chunks And Graphs: Retrieval-Augmented Generation Through Triplet-Driven Thinking,Paper
49,Shengbo Gong,Author
49,Xianfeng Tang,Author
49,Carl Yang,Author
49,Wei Jin,Author
49,Retrieval-Augmented Generation (Rag),Topic
49,Large Language Models (Llms),Topic
49,Multi-Round Rag,Topic
49,Graph Rag,Topic
49,T^2Rag,Topic
49,Knowledge Base Of Atomic Triplets,Topic
49,Triplet Database,Topic
49,Decompose Questions Into Searchable Triplets With Placeholders,Topic
49,Hallucinations,Topic
49,External Knowledge,Topic
49,Performance,Topic
49,Efficiency,Topic
49,Reasoning,Topic
49,Llm Calls,Topic
49,Token Costs,Topic
49,Graph Construction,Topic
49,Retrieval Redundancy,Topic
49,Retrieval Costs,Topic
49,Datasets,Topic
49,Retrieving Evidence From The Triplet Database,Topic
